parameter,relative_change,PE_mean,PE_std,VOL_mean,VOL_std
E,0.01,-0.0129038085515901,0.013041219038378364,-0.015035706563852306,0.017834125233349717
E,0.05,-0.04094336955976991,0.011889046744531178,-0.04576756359214442,0.008493404407395332
E,0.1,-0.08606801986507683,0.020873323658437,-0.09179976736843398,0.007970744164979622
E,0.2,-0.15296883373857365,0.0463778886139687,-0.1660379750718916,0.017187661655442603
nu,0.01,-0.00041418672715554935,0.011648404184717983,-0.0395249327079461,0.02916278003866443
nu,0.05,0.04623747659328452,0.2991550800560806,-0.18801314979895714,0.17236141308517147
nu,0.1,-0.0155555392330182,0.05066027043342086,-0.24383180560520537,0.16669793624856405
nu,0.2,0.003327941221950312,0.06425568536106863,-0.43373446822435857,0.10397373578694094
nu,0.25,0.002902289348248634,0.06551265250292741,-0.4431740164779652,0.12001269701066668
nu,0.3,0.03864829261054049,0.11933797608550176,-0.6200795405365392,0.06215817458406742
rho,0.01,0.00284176850786049,0.008351915641024093,-0.001555567235735924,0.00815507732028957
rho,0.05,-0.0018551366368292162,0.012169160948021097,0.0010493177123636981,0.010256456710272836
rho,0.1,0.004417289038605687,0.015571798419707392,-0.0005632567464132381,0.00835109956066956
rho,0.2,0.0012798429360461646,0.01874221916147674,0.0032735253311144265,0.009381932117685858
rho,0.25,-0.002829245996259952,0.013759290444916613,-0.0009670969387826114,0.008231047552147175
rho,0.3,-0.0016526366215512387,0.0065630864764682955,-0.0023036717730552008,0.007567563924109837
