parameter,relative_change,PE_mean,PE_std,VOL_mean,VOL_std
E,0.01,-0.005111979137049018,0.013551671510642755,0.019873285363137087,0.13640276167167453
E,0.05,-0.0323755227376545,0.032870560039154374,-0.04156828339513993,0.10838409688130228
E,0.1,-0.07007548156680934,0.055015403137479046,-0.10021986326661587,0.03643470317378153
E,0.2,-0.13441952932925932,0.09427950988604199,-0.266060975339183,0.2512039754489314
nu,0.01,-0.0036469233416082203,0.0282104052157145,0.03722949619901666,0.43825133060950794
nu,0.05,0.09779596646163438,0.5352956730076497,-0.1998799899979623,0.47885449942454905
nu,0.1,-0.005694012772650905,0.061045671820691906,-0.2821469534899,0.17246927219773836
nu,0.2,0.04334694004202131,0.1372766029321473,-0.5297982931070182,0.15847461434102317
nu,0.25,0.04441946579653962,0.14312792563836527,-0.5324872921887855,0.1726956694161042
nu,0.3,0.14129007449057004,0.23892668936694264,-0.7969507537713615,0.14187313607903668
rho,0.01,0.00267623626901207,0.013426021755418202,-0.015245291026764396,0.08725808639022989
rho,0.05,0.002654402513971362,0.018670984871934346,0.006756292684796867,0.15774850986730302
rho,0.1,0.0036321582925728027,0.02028651734027726,-0.007968982795043917,0.03040028348762187
rho,0.2,-0.0020882727916316994,0.021196507362892983,-0.018257019698772355,0.11795135868741784
rho,0.25,-0.002681918998921467,0.02694863890211054,-0.011749521387510469,0.12825466324057647
rho,0.3,0.005014763943560293,0.019054775026389685,-0.03100767661379415,0.14017639415725092
